filename,Question_ID,llm_name,LLM_Response
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,1,llava_qwen,"Answer: The person demonstrates a furrowed brow, which is a sign of difficulty."
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,2,llava_qwen,The background is clear and the lighting condition is normal.
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,3,llava_qwen,"Answer: No, the person's eye blink rate was normal."
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,4,llava_qwen,The camera is at a good position.
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,5,llava_qwen,"The subject is coherent in what they are speaking, delivering an easy to understand story."
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,6,llava_qwen,The subject was able to follow the instructions while completing the task.
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,7,llava_qwen,always
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,8,llava_qwen,"(i) The individual's face appears blank and emotionless, even when they are trying to express an emotion."
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,9,llava_qwen,No abnormal signs were observed in body parts other than the face.
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,10,llava_qwen,"The subject appears to be in a neutral state of mind, with no significant emotional or cognitive cues observed."
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,11,llava_qwen,None
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,12,llava_qwen,No.
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,13,llava_qwen,"No, the face was visible throughout the video."
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,1,llava_qwen,"The person demonstrates signs of difficulty through their facial expressions, such as a furrowed brow and tight lips."
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,2,llava_qwen,The background is clear and the lighting condition is appropriate.
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,3,llava_qwen,"No, there was no abnormality in the person's eye blink rate."
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,4,llava_qwen,The camera is at a good position.
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,5,llava_qwen,"The subject is coherent in what they are speaking, delivering an easy to understand story."
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,6,llava_qwen,The subject was able to follow the instructions while completing the task.
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,7,llava_qwen,Most of the times
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,8,llava_qwen,"(i) The individual's face appears blank and emotionless, even when they are trying to express an emotion."
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,9,llava_qwen,"The person exhibits signs of bradykinesia, such as slow arm movements and reduced arm swing while speaking."
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,10,llava_qwen,"The subject appears calm and engaged, with a neutral facial expression and minimal movement."
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,11,llava_qwen,"No, there were no other individuals present in the background."
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,12,llava_qwen,No.
2023-05-19T19%3A18%3A06.618Z_tV9SXnOdS3hUx6RXNvFDrCN6pHr2_resting_face.mp4,13,llava_qwen,"No, the face was consistently visible throughout the video."
