Video,Question_ID,llm_name,LLM_Response,likert_score,likert_explanation,positive_statement_x,video_path,question_id,question,answer1,annotator1,answer2,annotator2,answer3,annotator3,positive_statement_y,likert1_score,likert1_explanation,likert2_score,likert2_explanation,likert3_score,likert3_explanation,overall_ratings
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,1,llava_qwen,"Answer: The person demonstrates a furrowed brow, which is a sign of difficulty.",1,"The old response explicitly states that “The person demonstrates a furrowed brow, which is a sign of difficulty.” This directly contradicts the new statement that the person shows no signs of difficulty in facial expressions. Since the response clearly indicates the presence of difficulty, alignment with the new question is very low.

**Likert Score: 1**",The person shows no signs of difficulty in facial expressions.,/localdisk1/PARK/park_vlm/Videos/2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,1,"Please describe whether the person demonstrates any difficulty through their facial expressions. Some examples of visible difficulty include furrowed brow, squinting eyes, clenched jaw, tight lips, head hanging low, sighing, wrinkled forehead, etc. Mention such specific details when found. End output with a final answer choice: ""Yes"" or ""No"".","perhaps slight, rubs head early in clip when thinking about what to say ",Nami,no,Natalia,none,Cayla,The person shows no signs of difficulty in facial expressions.,2,"The response notes “perhaps slight” difficulty and that the person “rubs head early in clip when thinking about what to say.” This indicates at least some visible sign of difficulty, contradicting the statement that the person shows no signs of difficulty in facial expressions. However, the difficulty is described as slight, not strong or pervasive.

Thus, the alignment with “The person shows no signs of difficulty in facial expressions” is low but not completely opposite.

**Likert Score: 2**",5,"The old question asks whether the person demonstrates any difficulty through facial expressions, and the response is simply “no.” This directly indicates that the observer did not see any signs of difficulty in facial expressions. That aligns very strongly with the new statement: “The person shows no signs of difficulty in facial expressions.”

**Likert Score: 5**",5,"The old question asks whether the person demonstrates any visible difficulty in facial expressions. The response ""none"" indicates that the observer did not see any such signs of difficulty. This directly supports the new statement that ""The person shows no signs of difficulty in facial expressions.""

Therefore, the alignment with the new question is very strong.

**Likert Score: 5**",5
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,2,llava_qwen,The background is clear and the lighting condition is normal.,5,"The response explicitly states that “the background is clear” (i.e., not overloaded) and “the lighting condition is normal” (i.e., appropriate, not too dark or overlit). This fully agrees with the positive statement in the new question.

**Likert Score: 5**","The background is not overloaded, and the lighting conditions are appropriate (not too dark or overlit).",/localdisk1/PARK/park_vlm/Videos/2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,2,"Mention if the background is overloaded (i.e., too many things), or the lighting condition is inappropriate (i.e., too dark or overlit). Otherwise, just output ""normal background"".",lighting is a little low ,Nami,normal background,Natalia,normal background,Cayla,"The background is not overloaded, and the lighting conditions are appropriate (not too dark or overlit).",2,"The response says “lighting is a little low,” which directly indicates that the lighting condition is not appropriate (too dark). This contradicts the statement in the new question that lighting is appropriate. There is no mention of the background being overloaded, but since the new statement requires both non-overloaded background and appropriate lighting, and lighting is explicitly inappropriate, overall alignment is low.

**Likert Score: 2**",5,"The old response is exactly ""normal background,"" which, per the old question’s instructions, is to be used when the background is not overloaded and the lighting is not inappropriate. This directly affirms the new positive statement that the background is not overloaded and the lighting is appropriate.

**Likert Score: 5**",5,"The old response explicitly says ""normal background,"" which under the old question means the background is not overloaded and the lighting is not inappropriate. This directly supports the positive statement in the new question.

**Likert Score: 5**",5
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,3,llava_qwen,"Answer: No, the person's eye blink rate was normal.",5,"The old response explicitly states: “the person's eye blink rate was normal,” which directly affirms the new statement that the person’s eye blink rate is normal and shows no abnormalities. There is full alignment with the NEW_QUESTION.

**Likert Score: 5**","The person’s eye blink rate is normal (no absence of blinking, reduced blink rate, or excessive blinking).",/localdisk1/PARK/park_vlm/Videos/2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,3,"Was there anything abnormal about the person’s eye blink rate? For example, they may not be blinking at all, or they may have reduced or increased blink rate compared to a normal person. If there is nothing abnormal, output ""normal blinking"".",decreased ,Nami,Blink rate was reduced. ,Natalia,reduced,Cayla,"The person’s eye blink rate is normal (no absence of blinking, reduced blink rate, or excessive blinking).",1,"The old response “decreased” clearly indicates that the person’s blink rate is *not* normal; it is reduced compared to normal. This directly contradicts the new statement that the blink rate is normal (no reduced rate). Therefore, the appropriate rating is strongly disagree.

**Likert Score: 1**",1,"The old response explicitly states that the ""Blink rate was reduced,"" which directly indicates an abnormal blink rate. This contradicts the new statement that the person’s eye blink rate is normal (i.e., no reduced blink rate). Therefore, the alignment with the new question is very low.

**Likert Score: 1**",1,"The old response says ""reduced,"" indicating the person’s blink rate is *not* normal but lower than usual.  
The new question states that the blink rate *is* normal, with no reduced blinking.  
Therefore, the response directly contradicts the new statement.

**Likert Score: 1**",1
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,4,llava_qwen,The camera is at a good position.,5,"The old response explicitly states: “The camera is at a good position,” directly addressing the OLD_QUESTION’s definition of a good position (upper half visible, lower half not). This aligns fully with the NEW_QUESTION’s positive statement that the camera distance is appropriate in exactly that way. There is no indication of disagreement or ambiguity.

**Likert Score: 5**","The camera distance is appropriate, with the upper half of the subject’s body visible and thelower half not captured.",/localdisk1/PARK/park_vlm/Videos/2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,4,"How far is the camera? A good position of the camera would be when the upper half of the subject's body remains visible, while the lower half is not captured in the frame. If the upper body is only partly visible, the camera is too close. If the lower body is also visible, the camera is too far.",good,Nami,good position,Natalia,too close,Cayla,"The camera distance is appropriate, with the upper half of the subject’s body visible and thelower half not captured.",5,"The response ""good"" in the context of being asked about how far the camera is strongly suggests that the respondent thinks the current camera distance is appropriate. Since the NEW_QUESTION defines what “appropriate” means (upper half visible, lower half not), ""good"" most reasonably aligns with agreement that this condition is met, and there is no indication of any problem or partial mismatch.

**Likert Score: 5**",5,"The response “good position” directly indicates that the camera is at an appropriate distance, which matches the positive statement in the NEW_QUESTION about the camera distance being appropriate. There is no indication of any problem or partial disagreement, so it fully aligns with the NEW_QUESTION.

**Likert Score: 5**",1,"The old response says “too close,” which, per the old question, means the upper body is only partly visible and thus the camera distance is not appropriate. This directly contradicts the new statement that the camera distance is appropriate.

Therefore, the alignment with the new question is very low.

**Likert Score: 1**",5
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,5,llava_qwen,"The subject is coherent in what they are speaking, delivering an easy to understand story.",5,"The response explicitly states that “The subject is coherent in what they are speaking, delivering an easy to understand story,” which directly supports the ideas of coherence and ease of understanding in the new question. While it does not explicitly mention staying focused on the central topic or avoiding detours, there is no indication of disorganization or topic drifting. Overall, it strongly aligns with the positive statement in the new question.

**Likert Score: 5**","The subject’s speech is coherent, easy to understand, and stays focused on the central topic(no unorganized detours).",/localdisk1/PARK/park_vlm/Videos/2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,5,"Is the subject coherent in what they are speaking? Are they delivering an easy to understand story, or are they deterring a lot from the central topic and delivering an unorganized speech?",coherent,Nami,"normal coherence, easy to understand story",Natalia,coherent,Cayla,"The subject’s speech is coherent, easy to understand, and stays focused on the central topic(no unorganized detours).",5,"The response is a single word: “coherent.”  

Given the old question contrasts coherent, easy-to-understand, focused speech with unorganized, off-topic speech, the respondent’s choice of “coherent” clearly indicates agreement that the subject’s speech is coherent and organized. There is no indication of any reservations or partial agreement.  

Therefore, the response strongly aligns with the new positive statement.  

**Likert Score: 5**",5,"The response says “normal coherence, easy to understand story,” which directly supports that the speech is coherent and easy to understand. While it doesn’t explicitly mention staying on the central topic or avoiding detours, there is no indication of disorganization or topic drifting. Overall, it aligns well with the positive statement.

**Likert Score: 5**",5,"The response is a single word: “coherent.”  

Given the old question contrasts coherent, easy-to-follow speech with unorganized, off-topic speech, the respondent’s choice of “coherent” clearly indicates they see the subject’s speech as organized and understandable. This strongly aligns with the new positive statement about coherence and focus.

**Likert Score: 5**",5
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,6,llava_qwen,The subject was able to follow the instructions while completing the task.,5,"The response explicitly states: “The subject was able to follow the instructions while completing the task,” and does not mention any deviations or differences. This directly supports the idea that the subject followed all instructions accurately with no observed deviations.

**Likert Score: 5**",The subject followed all instructions accurately while completing the task (no deviationsobserved).,/localdisk1/PARK/park_vlm/Videos/2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,6,"Please indicate whether the subject was able to follow the instructions while completing the task. If the subject was doing something differently, please describe.",compliant,Nami,"Yes, she completes the task appropriately. ",Natalia,"Yes, follows instructions",Cayla,The subject followed all instructions accurately while completing the task (no deviationsobserved).,5,"The word “compliant” directly indicates that the subject followed the instructions as required, with no mention of any deviations or issues. This aligns very strongly with the statement that the subject followed all instructions accurately and that no deviations were observed.

**Likert Score: 5**",5,"The response states, “Yes, she completes the task appropriately,” and does not mention any deviations or issues with following instructions. “Completes the task appropriately” implies that she followed the given instructions as intended. Since there is no indication of any deviation, this aligns strongly with the statement that she followed all instructions accurately.

**Likert Score: 5**",5,"The response explicitly states “Yes, follows instructions” and does not mention any deviations or issues. This directly supports the positive statement that the subject followed all instructions accurately with no observed deviations.

**Likert Score: 5**",5
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,7,llava_qwen,always,1,"The old response “always” indicates that the subject’s lips are *always* parted when not speaking.  

The new statement says the subject’s lips are *never* parted when not speaking. This is the direct opposite of “always parted,” so the response is in strong disagreement with the new statement.  

**Likert Score: 1**","The subject’s lips are never parted when not speaking (e.g., closed or slightly parted most ofthe time).",/localdisk1/PARK/park_vlm/Videos/2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,7,"Indicate the extent of lips parting when the subject is not saying anything (i.e., always/most of the times/sometimes/very few times/never).","Unable to grade, never really at rest ",Nami,"very few times (only able to assess for a short time at the end of the video, as otherwise the patient was talking)",Natalia,very few times,Cayla,"The subject’s lips are never parted when not speaking (e.g., closed or slightly parted most ofthe time).",3,"The respondent says they are ""unable to grade"" because the subject is ""never really at rest."" This means they are not providing any information about how often the lips are parted or closed when not speaking. Since no stance is given about whether the lips are never parted, the response neither supports nor contradicts the new statement.

The most appropriate rating is neutral.  
**Likert Score: 3**",4,"The old response says the subject’s lips part “very few times” when not speaking. This implies that most of the time the lips are not parted, which is close to but not exactly “never parted.” Thus, the response mostly agrees with the new statement, but not completely.

**Likert Score: 4**",4,"The old response “very few times” indicates that the subject’s lips are parted only rarely when not speaking, implying they are closed (or not parted) most of the time.  

The new statement says the subject’s lips are *never* parted when not speaking. “Very few times” is close to “never,” but not absolute, so it aligns strongly but not perfectly with the new statement.  

**Likert Score: 4**",4
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,8,llava_qwen,"(i) The individual's face appears blank and emotionless, even when they are trying to express an emotion.",1,"The old response explicitly endorses that the individual's face appears blank and emotionless, even when trying to express emotion. This directly contradicts the new statement, which describes natural, emotionally appropriate expressions without a blank/emotionless appearance. Therefore, alignment with the new question is very low.

**Likert Score: 1**","The subject’s facial expressions are natural, emotionally appropriate, and symmetrical (noblank/emotionless face, weakness, asymmetry, or difficulty holding expressions).",/localdisk1/PARK/park_vlm/Videos/2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,8,"Indicate which of the following are true for the subject: (i) The individual's face appears blank and emotionless, even when they are trying to express an emotion. (ii) The expression is weak or asymmetrical, and the individual has difficulty holding an expression (e.g., smile) for an extended period. Also mention if you observe other facial expression abnormalities. If there is nothing abnormal, output ""nothing abnormal"".","The individualÃ¢ÂÂs face appears blank and emotionless, even when they are trying to express an emotion.",Nami,The individualÃ¢ÂÂs face appears emotionless,Natalia,neither,Cayla,"The subject’s facial expressions are natural, emotionally appropriate, and symmetrical (noblank/emotionless face, weakness, asymmetry, or difficulty holding expressions).",1,"The old response explicitly states that “The individual’s face appears blank and emotionless, even when they are trying to express an emotion.”  

The new question describes natural, emotionally appropriate expressions without a blank/emotionless face. The described blank and emotionless appearance directly contradicts this, indicating abnormal, not natural, facial expression.

Therefore, the alignment with the positive statement in the NEW_QUESTION is very low.

**Likert Score: 1**",1,"The old response states that “The individual’s face appears emotionless,” which directly contradicts the new statement that facial expressions are natural and not blank/emotionless. This indicates an abnormality in facial expression rather than normal, appropriate expressiveness.

Therefore, the alignment with the new question is very low.

**Likert Score: 1**",5,"The OLD_QUESTION lists two possible abnormalities (blank/emotionless face; weak/asymmetrical expression or difficulty holding it). The response “neither” indicates that neither abnormality is present, implying facial expressions are normal, natural, and symmetrical. This aligns strongly with the NEW_QUESTION’s positive statement about normal facial expressions.

**Likert Score: 5**",1
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,9,llava_qwen,No abnormal signs were observed in body parts other than the face.,5,"The OLD_RESPONSE explicitly states: “No abnormal signs were observed in body parts other than the face.”  

The NEW_QUESTION is a positive statement that no abnormal signs (tremors, stiffness, abnormal posture, etc.) are observed in body parts. This directly matches the content of the response, which reports the absence of any such abnormalities.

Therefore, the alignment is complete and unambiguous.

**Likert Score: 5**","No abnormal signs are observed in body parts (e.g., no tremors, involuntary shaking, stiffness,rigidity, reduced arm swing, slowness, abnormal posture, or balance issues).",/localdisk1/PARK/park_vlm/Videos/2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,9,"Document any abnormal signs observed in body parts other than the face. This includes, but is not limited to, tremors in the hands, involuntary shaking or rhythmic movements of the upper or lower extremities, stiffness or rigidity in the limbs, reduced arm swing while speaking, or any signs of bradykinesia (slowness of movement). Additionally, note any abnormal postures, difficulty in maintaining balance, or other motor irregularities that may be indicative of Parkinson's disease.",slight possible dyskinetic movements of head and shoulders ,Nami,none noted,Natalia,cannot view other body parts,Cayla,"No abnormal signs are observed in body parts (e.g., no tremors, involuntary shaking, stiffness,rigidity, reduced arm swing, slowness, abnormal posture, or balance issues).",1,"The old response notes “slight possible dyskinetic movements of head and shoulders,” which are abnormal involuntary movements. This directly contradicts the new statement that no abnormal signs are observed. Even though the movements are described as “slight” and “possible,” they still indicate the presence of abnormalities rather than their absence. Therefore, the response is in strong disagreement with the new question.

**Likert Score: 1**",5,"The old response “none noted” directly indicates that no abnormal signs were observed in the body parts as described in the old question. This aligns very closely with the new positive statement that no abnormal signs (tremors, rigidity, slowness, posture or balance issues) are present. There is no indication of any abnormalities, so agreement is strong.

**Likert Score: 5**",3,"The response “cannot view other body parts” indicates that the rater is unable to make any observation about abnormal signs; it does not affirm that no abnormalities are present. Thus, it provides no support for the positive statement in the NEW_QUESTION and cannot be interpreted as agreement.

**Likert Score: 3**",3
2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,10,llava_qwen,"The subject appears to be in a neutral state of mind, with no significant emotional or cognitive cues observed.",4,"The old response describes the subject as being in a ""neutral state of mind"" with ""no significant emotional or cognitive cues observed."" This aligns well with the part of the new question about ""no signs of exhaustion, confusion, or inappropriate energy levels,"" since neutrality implies absence of such issues. However, the response does not explicitly state that the subject is ""calm and alert""; calm might be inferred from neutrality, but alertness is not mentioned. Thus, the alignment is good but not complete.

**Likert Score: 4**","The subject appears calm and alert, with no signs of exhaustion, confusion, or inappropriate energy levels.",/localdisk1/PARK/park_vlm/Videos/2023-05-11T21%3A59%3A07.908Z_vBAkVvJKtggUnpO3mAT7hTdwpOV2_resting_face.mp4,10,"Provide a brief description of the subject's perceived state of mind, noting whether they appear energetic, exhausted, calm, confused, or exhibit any other relevant emotional or cognitive cues.",looks slightly tired ,Nami,calm,Natalia,anxious,Cayla,"The subject appears calm and alert, with no signs of exhaustion, confusion, or inappropriate energy levels.",2,"The old response says the subject ""looks slightly tired,"" which directly indicates some level of exhaustion. The new question describes someone who is calm and alert with *no signs of exhaustion*. Because the response contradicts this key part (no exhaustion), it does not align well with the new statement, though it does not mention confusion or inappropriate energy.

Given this partial but mostly negative alignment, the appropriate rating is 2 (disagree).

**Likert Score: 2**",3,"The old response only states that the subject is ""calm."" This directly supports the ""appears calm"" part of the new question but says nothing about being alert or about the absence of exhaustion, confusion, or inappropriate energy levels. Since we cannot assume these additional aspects from the single word ""calm,"" the alignment is partial rather than complete.

**Likert Score: 3**",1,"The response ""anxious"" indicates the subject is experiencing heightened anxiety, which conflicts with being calm and showing no inappropriate energy levels. Anxiety typically implies emotional unease and possible agitation, not calmness. Therefore, the response does not align with the positive statement in the new question.

**Likert Score: 1**",2
